Station,Month,Monthly_Avg_C,Monthly_Min_C,Monthly_Max_C
37,10,1979.0947292744336,1084.387740048,3390.4377144
37,11,3834.9463911636662,1917.5318628899997,6448.6172432
37,12,3309.909572126,2019.0041723600002,5038.44580789
38,1,33946.43179076667,24220.154683,43448.095278
38,2,32841.88796636667,25255.880104999997,40504.082502000005
38,3,31513.418356666665,25830.286935,44688.291915999995
38,4,32322.56332463333,27434.689576,36199.6447743
38,5,30717.164070623334,25462.01536,35677.0056531
38,6,23102.750173690005,19637.6909231,29322.857824599996
38,7,17492.650448610002,14494.91703,22737.7568033
38,8,12837.649408700001,10258.759133999998,14862.6289416
38,9,11230.390028803335,9736.5228696,13144.162739
38,10,18615.594497893333,11058.190209,40811.402764800005
38,11,35539.245688359995,20173.5106842,53578.2038074
38,12,32488.984026657152,23622.398028,44477.427267
39,1,33946.43179076667,24220.154683,43448.095278
39,2,32841.88796636667,25255.880104999997,40504.082502000005
39,3,31513.418356666665,25830.286935,44688.291915999995
39,4,32322.56332463333,27434.689576,36199.6447743
39,5,30717.164070623334,25462.01536,35677.0056531
39,6,23102.750173690005,19637.6909231,29322.857824599996
39,7,17492.650448610002,14494.91703,22737.7568033
39,8,12837.649408700001,10258.759133999998,14862.6289416
39,9,11230.390028803335,9736.5228696,13144.162739
39,10,18615.594497893333,11058.190209,40811.402764800005
39,11,35539.245688359995,20173.5106842,53578.2038074
39,12,32488.984026657152,23622.398028,44477.427267
40,1,585.2492545456666,392.21237520000005,788.7541089999999
40,2,552.821553356,414.84803461,937.418846
40,3,629.2343408576667,423.3136494,986.9365014
40,4,420.20893092,306.5012205,567.0140905999999
40,5,322.2315471431333,272.346859808,395.2028262
40,6,262.25486874576666,237.723781272,306.13058512000003
40,7,191.65338865266665,180.416513136,237.227759415
40,8,232.91412160213332,177.82075589999997,251.37400697600003
40,9,248.11352892944336,233.80948553040002,283.38250468
40,10,261.5468449127767,210.4497882069,362.00190792
40,11,408.47567086656676,277.753550501,712.6415782
40,12,4202.527743297429,401.046053,14995.919788000001
41,1,1086.8425256666667,726.5570184000001,1467.40244
41,2,1025.82149951,768.6033500000001,1745.9808469999998
41,3,1169.2035333200001,784.3294891000002,1839.5064297000004
41,4,778.5615572813333,567.0553002399998,1051.3141538
41,5,595.8038322403333,503.2093956299999,731.3287137999998
41,6,484.2893834216666,438.7081895,565.6891519700001
41,7,353.68113663133335,332.8521884,437.7238824000001
41,8,429.48998520540005,328.025406261,463.572893126
41,9,457.60101391309996,431.122631384,522.9496937120001
41,10,482.67741554773323,388.08579648,668.909961
41,11,755.2554795908,512.5427729060001,1319.6657032
41,12,7791.63733266,743.2542414,27809.552030000003
42,1,1306.0857099399998,871.7117544000001,1764.8501868000003
42,2,1232.1788773766666,922.2745090999999,2101.0930075000006
42,3,1405.1029514933332,941.371494,2212.909727
42,4,934.4367143333333,680.2020709,1262.1471957
42,5,714.4606395856666,603.3093146000001,877.4224455000001
42,6,580.5217922736666,525.72689514,678.2954811000001
42,7,423.8877793363333,398.79891813,524.5392928
42,8,514.5899018914665,393.04086108000007,555.49659708
42,9,548.3000892120666,516.44772355,626.7378455099999
42,10,578.4780327897,464.98118941999996,802.0063129999999
42,11,905.9509045940667,614.28918784,1584.3031035999998
42,12,9356.979508822855,892.3452674999999,33399.45123399999
43,1,1540.0059244566667,1030.596292,2077.5034455
43,2,1454.2119055299997,1090.165,2471.161056
43,3,1656.3800798000002,1113.0585820000001,2602.0472095999994
43,4,1104.6271433266666,805.375487,1490.9444968
43,5,846.3121477533332,715.3694611,1038.704414
43,6,688.3050633689334,623.694632308,803.6268539
43,7,502.8282415255666,473.26802913,622.285722381
43,8,610.8614873064332,466.43481932099996,659.298225122
43,9,650.805327968,613.21396929,743.5673457099999
43,10,686.1875506210333,551.946988677,950.2079055
43,11,1072.6632517130001,728.83847505,1872.4805253000002
43,12,11051.295109771427,1054.0744218,39433.97510899999
44,1,781.1249912806669,521.6010186200001,1055.6247297
44,2,737.0654972833332,551.77886454,1256.4209466
44,3,840.2852679199999,563.1704858999999,1323.0067589999999
44,4,558.9215929616668,406.88530799999995,754.804155
44,5,427.46360648366664,360.98164349999996,524.9547752700001
44,6,347.3353273313333,314.56538692999993,405.80242200000004
44,7,253.62179776666662,238.68753446999997,313.9107558
44,8,307.91274391583335,235.21915565999998,332.365127848
